Record#,PIT Tag,SRR Verbose,Event Type,Conditional Comments,Length,Weight,Text Comments,Event Date (PST),Event Site,Brood Year,Migration Year,Release Site,Release Date (PST),Organization,Hatchery,Additional Positional,Tally Count,SRR Code
2,3DD.0077574D8D,Wild Summer Chinook,Mark,,81,5.7,,3/27/2017 9:22,JOHTRP,2015,2017,JOHTRP,3/27/2017 9:22,NPT,,,1,12W
3,3DD.007756C904,Wild Summer Chinook,Mark,,78,4.6,,3/27/2017 9:23,JOHTRP,2015,2017,JOHTRP,3/27/2017 9:23,NPT,,,1,12W
4,3DD.00774EB012,Wild Summer Chinook,Mark,,73,3.4,,3/27/2017 9:23,JOHTRP,2015,2017,JOHTRP,3/27/2017 9:23,NPT,,,1,12W
5,3DD.00774EE73A,Wild Summer Chinook,Mark,,80,4.9,,3/27/2017 9:24,JOHTRP,2015,2017,JOHTRP,3/27/2017 9:24,NPT,,,1,12W
6,3DD.007756FBA5,Wild Summer Chinook,Mark,,81,5.6,,3/27/2017 9:24,JOHTRP,2015,2017,JOHTRP,3/27/2017 9:24,NPT,,,1,12W
7,3DD.00774F4B5E,Wild Summer Chinook,Mark,,83,5.6,,3/27/2017 9:25,JOHTRP,2015,2017,JOHTRP,3/27/2017 9:25,NPT,,,1,12W
8,3DD.00774F590C,Wild Summer Chinook,Mark,,83,5.3,,3/27/2017 9:25,JOHTRP,2015,2017,JOHTRP,3/27/2017 9:25,NPT,,,1,12W
9,3DD.0077572F4D,Wild Summer Steelhead,Mark,,78,4.6,,3/27/2017 9:26,JOHTRP,    ,2017,JOHTRP,3/27/2017 9:26,NPT,,,1,32W
10,3DD.00775745F4,Wild Summer Steelhead,Mark,,72,3.5,,3/27/2017 9:26,JOHTRP,    ,2017,JOHTRP,3/27/2017 9:26,NPT,,,1,32W
11,3DD.0077570DA5,Wild Summer Steelhead,Mark,,112,13.8,,3/27/2017 9:27,JOHTRP,    ,2017,JOHTRP,3/27/2017 9:27,NPT,,,1,32W
12,3DD.007756FA96,Wild Summer Steelhead,Mark,,174,44.7,,3/27/2017 9:27,JOHTRP,    ,2017,JOHTRP,3/27/2017 9:27,NPT,,,1,32W
13,384.1B7972CDE7,Wild Summer Steelhead,Mark,,61,2.3,,3/27/2017 9:28,JOHTRP,    ,2017,JOHTRP,3/27/2017 9:28,NPT,,,1,32W
14,384.1B7972CFC7,Wild Summer Steelhead,Mark,,61,2.3,,3/27/2017 9:29,JOHTRP,    ,2017,JOHTRP,3/27/2017 9:29,NPT,,,1,32W
15,384.1B7972D7B9,Wild Summer Steelhead,Mark,,58,1.9,,3/27/2017 9:29,JOHTRP,    ,2017,JOHTRP,3/27/2017 9:29,NPT,,,1,32W
1,..........,Mountain Whitefish,Tally,,114,11.6,NO MARK RELEASED DS,3/28/2017 9:21,JOHTRP,    ,2017,JOHTRP,3/28/2017 9:21,NPT,,,1,G0W
2,3DD.00774ECCE7,Wild Summer Chinook,Mark,,82,5.4,,3/28/2017 9:23,JOHTRP,2015,2017,JOHTRP,3/28/2017 9:23,NPT,,,1,12W
3,3DD.007756E623,Wild Summer Chinook,Mark,,77,4.6,,3/28/2017 9:24,JOHTRP,2015,2017,JOHTRP,3/28/2017 9:24,NPT,,,1,12W
4,3DD.007756F51B,Wild Summer Chinook,Mark,,82,5.5,,3/28/2017 9:25,JOHTRP,2015,2017,JOHTRP,3/28/2017 9:25,NPT,,,1,12W
5,3DD.00774F56F9,Wild Summer Chinook,Mark,,75,3.9,,3/28/2017 9:25,JOHTRP,2015,2017,JOHTRP,3/28/2017 9:25,NPT,,,1,12W
6,3DD.00775716F0,Wild Summer Chinook,Mark,,79,5.2,,3/28/2017 9:26,JOHTRP,2015,2017,JOHTRP,3/28/2017 9:26,NPT,,,1,12W
7,3DD.0077572872,Wild Summer Chinook,Mark,,90,6.5,,3/28/2017 9:26,JOHTRP,2015,2017,JOHTRP,3/28/2017 9:26,NPT,,,1,12W
8,3DD.00774EB012,Wild Summer Chinook,Recapture,RE,71,3.5,RC (CDR17086JCT),3/28/2017 9:26,JOHTRP,    ,2017,JOHTRP,3/28/2017 9:26,NPT,,,1,12W
9,3DD.00775722E3,Wild Summer Chinook,Mark,,70,3.7,,3/28/2017 9:27,JOHTRP,2015,2017,JOHTRP,3/28/2017 9:27,NPT,,,1,12W
10,3DD.007756EC41,Wild Summer Steelhead,Mark,,167,42.3,,3/28/2017 9:28,JOHTRP,    ,2017,JOHTRP,3/28/2017 9:28,NPT,,,1,32W
11,3DD.007756EBE2,Wild Summer Steelhead,Mark,,95,8.9,,3/28/2017 9:29,JOHTRP,    ,2017,JOHTRP,3/28/2017 9:29,NPT,,,1,32W
12,384.1B7972C242,Wild Summer Steelhead,Mark,,71,3.7,,3/28/2017 9:29,JOHTRP,    ,2017,JOHTRP,3/28/2017 9:29,NPT,,,1,32W
13,384.1B7972CD1F,Wild Summer Steelhead,Mark,,58,1.9,,3/28/2017 9:30,JOHTRP,    ,2017,JOHTRP,3/28/2017 9:30,NPT,,,1,32W
