trap_year,facility,trap,species,run,origin,sex,age_designation,living_status,disposition,purpose,count
1997,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Hatchery,Female,NA,Alive,Ponded,Brood Stock,1
1997,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Hatchery,Male,NA,Alive,Ponded,Brood Stock,1
1997,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Ponded,Brood Stock,5
1997,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Released,Natural Spawning,7
1997,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Ponded,Brood Stock,2
1997,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Released,Natural Spawning,11
1998,NPT GRSME Program,Lostine River Weir,Bull Trout,NA,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,5
1998,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Ponded,Brood Stock,1
1998,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Released,Natural Spawning,9
1998,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,TrapMort,Disposed,Nutrient Enhancement,1
1998,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Ponded,Brood Stock,1
1998,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Released,Natural Spawning,11
1998,NPT GRSME Program,Lostine River Weir,Mtn White Fish,NA,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,14
1998,NPT GRSME Program,Lostine River Weir,Rainbow Trout,NA,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,6
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Female,Adult,Alive,Ponded,Brood Stock,1
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,Alive,Ponded,Brood Stock,33
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,Alive,Released,Natural Spawning,35
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,Alive,Ponded,Brood Stock,19
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,Alive,Released,Natural Spawning,23
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Jack/Jill,Alive,Ponded,Brood Stock,1
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Jack/Jill,Alive,Released,Natural Spawning,2
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Mtn White Fish,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,11
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Mtn White Fish,NA,Native,Unknown,NA,TrapMort,Disposed,Nutrient Enhancement,2
1999,NPT GRSME Program,Lostine River Weir,Bull Trout,NA,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,8
1999,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Hatchery,Female,NA,Killed,Disposed,Distribution,1
1999,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Hatchery,Male,NA,Alive,Released,Natural Spawning,1
1999,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Ponded,Brood Stock,1
1999,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Released,Natural Spawning,6
1999,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Ponded,Brood Stock,1
1999,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Released,Natural Spawning,4
1999,NPT GRSME Program,Lostine River Weir,Mtn White Fish,NA,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,1
1999,NPT GRSME Program,Lostine River Weir,Steelhead,Summer,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,1
2000,NPT GRSME Program,Lostine River Weir,Bull Trout,NA,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,12
2000,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Hatchery,Male,NA,Alive,Ponded,Brood Stock,11
2000,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Hatchery,Male,NA,Alive,Released,Natural Spawning,16
2000,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Ponded,Brood Stock,8
2000,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Released,Natural Spawning,13
2000,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Ponded,Brood Stock,14
2000,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Released,Natural Spawning,29
2000,NPT GRSME Program,Lostine River Weir,Mtn White Fish,NA,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,1
2000,NPT GRSME Program,Lostine River Weir,Steelhead,Summer,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,1
2000,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Bull Trout,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,17
2000,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Female,Adult,Alive,Released,Natural Spawning,2
2000,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Adult,Alive,Released,Natural Spawning,6
2000,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Jack/Jill,Alive,Released,Natural Spawning,6
2000,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,Alive,Ponded,Brood Stock,16
2000,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,Alive,Released,Natural Spawning,13
2000,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,TrapMort,Disposed,Nutrient Enhancement,1
2000,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,Alive,Ponded,Brood Stock,25
2000,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,Alive,Released,Natural Spawning,23
2000,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Jack/Jill,Alive,Ponded,Brood Stock,32
2000,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Jack/Jill,Alive,Released,Natural Spawning,28
2000,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Mtn White Fish,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,11
2001,IDFG Region 2 Research Weirs,Fish Creek Weir,Chinook,Summer,Hatchery-Segregated,Female,NA,Alive,Released,Other,8
2001,IDFG Region 2 Research Weirs,Fish Creek Weir,Chinook,Summer,Hatchery-Segregated,Male,NA,Alive,Released,Natural Spawning,1
2001,IDFG Region 2 Research Weirs,Fish Creek Weir,Chinook,Summer,Hatchery-Segregated,Male,NA,Alive,Released,Other,6
2001,IDFG Region 2 Research Weirs,Fish Creek Weir,Chinook,Summer,Natural,Female,NA,Alive,Released,Natural Spawning,51
2001,IDFG Region 2 Research Weirs,Fish Creek Weir,Chinook,Summer,Natural,Male,NA,Alive,Released,Natural Spawning,63
2001,IDFG Region 2 Research Weirs,Fish Creek Weir,Chinook,Summer,Natural,Unknown,NA,Alive,Released,Natural Spawning,5
2001,NPT JCAPE Program,Johnson Creek Weir - Downstream Trap,Mtn White Fish,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,1
2001,NPT JCAPE Program,Johnson Creek Weir - Downstream Trap,Mtn White Fish,NA,Native,Unknown,NA,DOA,Disposed,Nutrient Enhancement,1
2001,NPT JCAPE Program,Johnson Creek Weir - Downstream Trap,Steelhead,Summer,Unknown,Unknown,NA,Alive,Released,Natural Spawning,1
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Bull Trout,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,47
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Female,Adult,Alive,Released,Natural Spawning,7
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Female,Adult,Alive,Transferred,Within FINS Facility,9
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Female,Adult,Killed,Disposed,Stray Removal,4
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Female,NA,Alive,Released,Natural Spawning,1
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Adult,Alive,Released,Natural Spawning,1
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Adult,Alive,Transferred,Within FINS Facility,9
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Adult,Killed,Disposed,Stray Removal,4
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Jack/Jill,Alive,Released,Natural Spawning,1
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Jack/Jill,Alive,Transferred,Within FINS Facility,1
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Jack/Jill,Killed,Disposed,Stray Removal,2
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Male,Adult,Alive,Ponded,Brood Stock,1
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Male,Adult,Alive,Released,Natural Spawning,2
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Male,Jack/Jill,Alive,Ponded,Brood Stock,7
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Male,Jack/Jill,Alive,Released,Natural Spawning,225
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Male,Jack/Jill,TrapMort,Disposed,Nutrient Enhancement,1
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,Alive,Ponded,Brood Stock,52
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,Alive,Released,Natural Spawning,444
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,TrapMort,Disposed,Nutrient Enhancement,2
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Jack/Jill,Alive,Released,Natural Spawning,1
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,Alive,Ponded,Brood Stock,82
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,Alive,Released,Natural Spawning,618
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,TrapMort,Disposed,Nutrient Enhancement,3
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Jack/Jill,Alive,Ponded,Brood Stock,7
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Jack/Jill,Alive,Released,Natural Spawning,34
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Mtn White Fish,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,17
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Steelhead,Summer,Natural,Male,NA,Alive,Released,Natural Spawning,1
2001,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Steelhead,Summer,Natural,Unknown,NA,Alive,Released,Natural Spawning,1
2002,NPT JCAPE Program,Johnson Creek Weir - Downstream Trap,Chinook,Summer,Natural,Female,Adult,TrapMort,Disposed,Nutrient Enhancement,1
2002,NPT JCAPE Program,Johnson Creek Weir - Downstream Trap,Steelhead,Summer,Unknown,Female,NA,Alive,Released,Natural Spawning,1
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Bull Trout,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,25
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Female,Adult,Alive,Released,Natural Spawning,9
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Female,Adult,Killed,Disposed,Stray Removal,1
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Adult,Alive,Released,Natural Spawning,6
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Jack/Jill,Alive,Released,Natural Spawning,1
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Female,Adult,Alive,Released,Natural Spawning,159
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Male,Adult,Alive,Released,Natural Spawning,226
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Male,Jack/Jill,Alive,Released,Natural Spawning,7
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,Alive,Ponded,Brood Stock,43
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,Alive,Released,Natural Spawning,304
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,TrapMort,Disposed,Nutrient Enhancement,3
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Jack/Jill,Alive,Released,Natural Spawning,1
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,Alive,Ponded,Brood Stock,52
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,Alive,Released,Natural Spawning,353
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,TrapMort,Disposed,Nutrient Enhancement,5
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Jack/Jill,Alive,Ponded,Brood Stock,2
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Jack/Jill,Alive,Released,Natural Spawning,19
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Cutthroat,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,1
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Mtn White Fish,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,9
2002,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Steelhead,Summer,Unknown,Unknown,NA,Alive,Released,Natural Spawning,1
2002,NPTH M&E Program,Lolo Creek Weir - Bradford,Chinook,Spring,Uncategorized,Female,NA,Alive,Released,Natural Spawning,57
2002,NPTH M&E Program,Lolo Creek Weir - Bradford,Chinook,Spring,Uncategorized,Male,NA,Alive,Released,Natural Spawning,54
2002,NPTH M&E Program,Lolo Creek Weir - Bradford,Chinook,Spring,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,1
2002,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Female,NA,Alive,Released,Natural Spawning,96
2002,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Male,NA,Alive,Released,Natural Spawning,123
2002,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,1
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Bull Trout,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,27
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Female,Adult,Killed,Disposed,Stray Removal,3
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Adult,Killed,Disposed,Stray Removal,4
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Jack/Jill,Killed,Disposed,Stray Removal,5
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Female,Adult,Alive,Released,Natural Spawning,72
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Male,Adult,Alive,Released,Natural Spawning,28
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Male,Jack/Jill,Alive,Released,Natural Spawning,66
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,Alive,Ponded,Brood Stock,39
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,Alive,Released,Natural Spawning,294
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,TrapMort,Disposed,Nutrient Enhancement,1
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,Alive,Ponded,Brood Stock,37
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,Alive,Released,Natural Spawning,212
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Jack/Jill,Alive,Ponded,Brood Stock,3
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Jack/Jill,Alive,Released,Natural Spawning,20
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Cutthroat,NA,Native,Unknown,NA,TrapMort,Disposed,Nutrient Enhancement,1
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Mtn White Fish,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,6
2003,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Mtn White Fish,NA,Native,Unknown,NA,TrapMort,Disposed,Nutrient Enhancement,1
2003,NPTH M&E Program,Lolo Creek Weir,Chinook,Spring,Uncategorized,Female,NA,Alive,Released,Natural Spawning,35
2003,NPTH M&E Program,Lolo Creek Weir,Chinook,Spring,Uncategorized,Female,NA,Alive,Transferred,Within FINS Facility,35
2003,NPTH M&E Program,Lolo Creek Weir,Chinook,Spring,Uncategorized,Male,NA,Alive,Released,Natural Spawning,54
2003,NPTH M&E Program,Lolo Creek Weir,Chinook,Spring,Uncategorized,Male,NA,Alive,Transferred,Within FINS Facility,43
2003,NPTH M&E Program,Lolo Creek Weir,Chinook,Spring,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,11
2003,NPTH M&E Program,Lolo Creek Weir - Upper,Chinook,Spring,Uncategorized,Female,NA,Alive,Released,Natural Spawning,12
2003,NPTH M&E Program,Lolo Creek Weir - Upper,Chinook,Spring,Uncategorized,Female,NA,Alive,Transferred,Within FINS Facility,8
2003,NPTH M&E Program,Lolo Creek Weir - Upper,Chinook,Spring,Uncategorized,Male,NA,Alive,Released,Natural Spawning,18
2003,NPTH M&E Program,Lolo Creek Weir - Upper,Chinook,Spring,Uncategorized,Male,NA,Alive,Transferred,Within FINS Facility,11
2003,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Female,NA,Alive,Released,Natural Spawning,180
2003,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Female,NA,Alive,Transferred,Within FINS Facility,31
2003,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Female,NA,TrapMort,Disposed,Nutrient Enhancement,1
2003,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Male,NA,Alive,Released,Natural Spawning,170
2003,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Male,NA,Alive,Transferred,Within FINS Facility,28
2003,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,2
2004,NPT JCAPE Program,Johnson Creek Weir - Downstream Trap,Bull Trout,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,11
2004,NPT JCAPE Program,Johnson Creek Weir - Downstream Trap,Bull Trout,NA,Native,Unknown,NA,TrapMort,Disposed,Nutrient Enhancement,1
2004,NPT JCAPE Program,Johnson Creek Weir - Downstream Trap,Mtn White Fish,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,4
2004,NPT JCAPE Program,Johnson Creek Weir - Downstream Trap,Steelhead,Summer,Natural,Male,NA,Alive,Released,Natural Spawning,1
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Bull Trout,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,23
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Female,Adult,Killed,Disposed,Stray Removal,9
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Adult,Killed,Disposed,Stray Removal,7
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,NA,Killed,Disposed,Stray Removal Distribution,1
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Female,Adult,Alive,Released,Natural Spawning,37
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Female,Jack/Jill,Alive,Released,Natural Spawning,1
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Male,Adult,Alive,Released,Natural Spawning,37
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Male,Jack/Jill,Alive,Released,Natural Spawning,36
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,Alive,Ponded,Brood Stock,31
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,Alive,Released,Natural Spawning,65
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,TrapMort,Disposed,Nutrient Enhancement,1
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,Alive,Ponded,Brood Stock,24
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,Alive,Released,Natural Spawning,67
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Jack/Jill,Alive,Ponded,Brood Stock,2
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Jack/Jill,Alive,Released,Natural Spawning,21
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Mtn White Fish,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,46
2004,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Mtn White Fish,NA,Native,Unknown,NA,TrapMort,Disposed,Nutrient Enhancement,1
2004,NPTH M&E Program,Lolo Creek Weir,Chinook,Spring,Uncategorized,Female,NA,Alive,Released,Natural Spawning,20
2004,NPTH M&E Program,Lolo Creek Weir,Chinook,Spring,Uncategorized,Female,NA,Alive,Transferred,Within FINS Facility,13
2004,NPTH M&E Program,Lolo Creek Weir,Chinook,Spring,Uncategorized,Male,NA,Alive,Released,Natural Spawning,17
2004,NPTH M&E Program,Lolo Creek Weir,Chinook,Spring,Uncategorized,Male,NA,Alive,Transferred,Within FINS Facility,12
2004,NPTH M&E Program,Lolo Creek Weir,Chinook,Spring,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,1
2004,NPTH M&E Program,Lolo Creek Weir - Upper,Chinook,Spring,Uncategorized,Female,NA,Alive,Released,Natural Spawning,97
2004,NPTH M&E Program,Lolo Creek Weir - Upper,Chinook,Spring,Uncategorized,Female,NA,Alive,Transferred,Within FINS Facility,35
2004,NPTH M&E Program,Lolo Creek Weir - Upper,Chinook,Spring,Uncategorized,Male,NA,Alive,Released,Natural Spawning,122
2004,NPTH M&E Program,Lolo Creek Weir - Upper,Chinook,Spring,Uncategorized,Male,NA,Alive,Transferred,Within FINS Facility,40
2004,NPTH M&E Program,Lolo Creek Weir - Upper,Chinook,Spring,Uncategorized,Male,NA,TrapMort,Disposed,Nutrient Enhancement,2
2004,NPTH M&E Program,Lolo Creek Weir - Upper,Chinook,Spring,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,1
2004,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Female,NA,Alive,Released,Natural Spawning,88
2004,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Female,NA,Alive,Transferred,Within FINS Facility,35
2004,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Female,NA,TrapMort,Disposed,Nutrient Enhancement,1
2004,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Male,NA,Alive,Released,Natural Spawning,72
2004,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Male,NA,Alive,Transferred,Within FINS Facility,40
2004,NPTH M&E Program,Newsome Creek Weir,Chinook,Spring,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,4
2005,NPT JCAPE Program,Johnson Creek Weir - Downstream Trap,Steelhead,Summer,Unknown,Male,NA,Alive,Released,Natural Spawning,2
2005,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Bull Trout,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,8
2005,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Female,Adult,Killed,Disposed,Stray Removal,1
2005,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Adult,Killed,Disposed,Stray Removal,1
2005,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Male,Jack/Jill,Killed,Disposed,Stray Removal,1
2005,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Female,Adult,Alive,Released,Natural Spawning,28
2005,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Male,Adult,Alive,Released,Natural Spawning,20
2005,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Supplementation,Male,Jack/Jill,Alive,Released,Natural Spawning,15
